Gene	TiledRegionStart	TiledRegionStop	GeneStart	GeneStop	Mark	RegionStart	RegionStop
6720457D02RIK	-126688	92006	0	41802	Ab6_MC	-126291	-125583
6720457D02RIK	-126688	92006	0	41802	Ab6_MC	-126688	-126422
6720457D02RIK	-126688	92006	0	41802	Ab6_MC	-381	322
6720457D02RIK	-126688	92006	0	41802	Ab6_MC	-65911	-65201
6720457D02RIK	-126688	92006	0	41802	Ab6_MC	91028	92006
6720457D02RIK	-126688	92006	0	41802	Ab6_MC	-95040	-94389
8430410A17RIK	-10000	22638	0	22638	Ab6_MC	-220	1578
AATF	-10000	90645	0	90645	Ab4_MC	-8926	-5507
AATF	-10000	90645	0	90645	Ab6_MC	-65	1404
AATF	-10000	90645	0	90645	Ab6_MC	-989	-196
ABCB1B	-10000	68122	0	68122	Ab6_MC	-345	1166
ABCG2	-10000	236050	0	95779	Ab6_MC	235216	236050
ABCG2	-10000	236050	0	95779	Ab6_MC	43877	44863
ABCG2	-10000	236050	0	95779	Ab6_MC	-973	584
ACE	-10000	32389	0	21298	Ab4_MC	26430	32389
ACO1	-10000	55744	0	55744	Ab6_MC	158	1611
ACO1	-10000	55744	0	55744	Ab6_MC	-900	99
ACTB	-57957	10000	0	3608	Ab6_MC	-2189	-134
ACTB	-57957	10000	0	3608	Ab6_MC	-23476	-22081
ACTB	-57957	10000	0	3608	Ab6_MC	-51	4447
ACTB	-57957	10000	0	3608	Ab6_MC	-57957	-53141
ACTC1	-10000	10000	0	5522	Ab6_MC	3137	5186
ACTC1	-10000	10000	0	5522	Ab6_MC	-829	2892
ADAM19	-10000	91356	0	91356	Ab6_MC	-573	2581
ADAM9	-10000	67169	0	67169	Ab6_MC	-1773	-426
ADAM9	-10000	67169	0	67169	Ab6_MC	-19	2155
AIM1	-265100	54539	0	54539	Ab6_MC	-265100	-262295
AIM1	-265100	54539	0	54539	Ab6_MC	-57	2925
AK1	-10000	10000	0	5548	Ab6_MC	-1417	921
AK3L1	-66039	47236	0	47236	Ab4_MC	68	1110
AK3L1	-66039	47236	0	47236	Ab6_MC	-63171	-62107
AK3L1	-66039	47236	0	47236	Ab6_MC	-66039	-63440
AKP2	-67207	64562	0	54584	Ab4_MC	-1224	2634
AKP2	-67207	64562	0	54584	Ab4_MC	17249	17996
AKP2	-67207	64562	0	54584	Ab4_MC	20902	28356
AKP2	-67207	64562	0	54584	Ab4_MC	40154	43118
AKP2	-67207	64562	0	54584	Ab4_MC	43286	44046
AKP2	-67207	64562	0	54584	Ab4_MC	44125	47255
AKP2	-67207	64562	0	54584	Ab4_MC	51056	54071
AKP2	-67207	64562	0	54584	Ab4_MC	54590	56911
AKP2	-67207	64562	0	54584	Ab4_MC	56982	61523
AKP2	-67207	64562	0	54584	Ab4_MC	63004	64562
AKP2	-67207	64562	0	54584	Ab6_MC	-65885	-64929
AKP2	-67207	64562	0	54584	Ab6_MC	-67207	-65953
ALCAM	-10000	203161	0	203161	Ab6_MC	-479	822
ALCAM	-10000	203161	0	203161	Ab6_MC	880	4342
ALDH7A1	-10000	47136	0	47136	Ab6_MC	-297	-140
ALDH7A1	-10000	47136	0	47136	Ab6_MC	-37	512
ANGPT1	-10000	252072	0	252072	Ab6_MC	-402	2785
ANKRD1	-229961	10000	0	7879	Ab6_MC	-10220	-9166
ANKRD1	-229961	10000	0	7879	Ab6_MC	-228575	-227686
ANKRD1	-229961	10000	0	7879	Ab6_MC	-229961	-228680
ANKRD1	-229961	10000	0	7879	Ab6_MC	-948	5798
ARIH2	-13699	46438	0	46438	Ab6_MC	-1101	1459
ARIH2	-13699	46438	0	46438	Ab6_MC	-13699	-12441
ASH2L	-10000	30800	0	30800	Ab6_MC	5296	7133
ASH2L	-10000	30800	0	30800	Ab6_MC	7214	8539
ATXN1	-10000	410083	0	410083	Ab6_MC	1105	2258
ATXN1	-10000	410083	0	410083	Ab6_MC	-151	553
ATXN1	-10000	410083	0	410083	Ab6_MC	619	1032
B2M	-30411	10000	0	5395	Ab6_MC	-30411	-28474
B2M	-30411	10000	0	5395	Ab6_MC	-622	2642
BAX	-10000	6960	0	5203	Ab6_MC	-381	1604
BAX	-10000	6960	0	5203	Ab6_MC	5433	6960
BDNF	-10000	217665	0	52343	Ab6_MC	17392	21131
BDNF	-10000	217665	0	52343	Ab6_MC	1944	3449
BDNF	-10000	217665	0	52343	Ab6_MC	215166	217665
BDNF	-10000	217665	0	52343	Ab6_MC	3520	4745
BGN	-25531	20306	0	12287	Ab4_MC	19412	20306
BGN	-25531	20306	0	12287	Ab6_MC	1513	3412
BGN	-25531	20306	0	12287	Ab6_MC	-25531	-24494
BGN	-25531	20306	0	12287	Ab6_MC	-624	1453
BMP4	-10000	617968	0	7079	Ab4_MC	1387	3279
BMP4	-10000	617968	0	7079	Ab6_MC	617060	617968
BMP6	-10000	154012	0	154012	Ab4_MC	-1348	2479
BNIP3	-33017	18670	0	18670	Ab4_MC	-33017	-29465
BNIP3	-33017	18670	0	18670	Ab6_MC	-1092	-127
BNIP3	-33017	18670	0	18670	Ab6_MC	-25	3580
BRCA1	-10000	60356	0	60356	Ab6_MC	-2834	-1435
BRCA1	-10000	60356	0	60356	Ab6_MC	-5410	-2903
C80913	-10000	59540	0	59540	Ab6_MC	178	1865
CBX2	-10000	10000	0	8241	Ab6_MC	-1479	-78
CBX2	-10000	10000	0	8241	Ab6_MC	74	2318
CBX3	-10000	54376	0	13088	Ab6_MC	27	2328
CBX3	-10000	54376	0	13088	Ab6_MC	-4206	-77
CBX3	-10000	54376	0	13088	Ab6_MC	53315	54376
CBX4	-10000	10000	0	5986	Ab6_MC	-1091	-269
CBX4	-10000	10000	0	5986	Ab6_MC	-111	217
CBX4	-10000	10000	0	5986	Ab6_MC	269	2882
CBX4	-10000	10000	0	5986	Ab6_MC	-5952	-4076
CBX6	-10000	29504	0	10435	Ab6_MC	28819	29504
CBX6	-10000	29504	0	10435	Ab6_MC	-412	-33
CBX6	-10000	29504	0	10435	Ab6_MC	58	2207
CBX6	-10000	29504	0	10435	Ab6_MC	-9899	-8785
CBX7	-10000	16839	0	16839	Ab6_MC	-1033	5
CBX7	-10000	16839	0	16839	Ab6_MC	4088	5118
CBX8	-19941	4027	0	2477	Ab4_MC	-12036	-5024
CBX8	-19941	4027	0	2477	Ab4_MC	-12036	-5024
CBX8	-19941	4027	0	2477	Ab4_MC	-19941	-16981
CBX8	-19941	4027	0	2477	Ab4_MC	-19941	-16981
CBX8	-19941	4027	0	2477	Ab6_MC	-1213	-352
CBX8	-19941	4027	0	2477	Ab6_MC	-1213	-352
CBX8	-19941	4027	0	2477	Ab6_MC	-16790	-15125
CBX8	-19941	4027	0	2477	Ab6_MC	-16790	-15125
CBX8	-19941	4027	0	2477	Ab6_MC	2466	4027
CBX8	-19941	4027	0	2477	Ab6_MC	2466	4027
CBX8	-19941	4027	0	2477	Ab6_MC	-298	1275
CBX8	-19941	4027	0	2477	Ab6_MC	-298	1275
CCNA2	-10000	20633	0	7076	Ab6_MC	114	2154
CCNA2	-10000	20633	0	7076	Ab6_MC	18635	20633
CCNB1	-10000	11379	0	7747	Ab6_MC	10074	11379
CCNB1	-10000	11379	0	7747	Ab6_MC	707	915
CCNB1	-10000	11379	0	7747	Ab6_MC	-93	628
CCNB1	-10000	11379	0	7747	Ab6_MC	985	3148
CCNC	-10000	22816	0	22816	Ab6_MC	-859	1053
CCND1	-10000	10000	0	9994	Ab6_MC	-23	2251
CCND1	-10000	10000	0	9994	Ab6_MC	-3457	-1095
CCND1	-10000	10000	0	9994	Ab6_MC	-964	-107
CCND2	-10000	42834	0	25340	Ab4_MC	-1677	-470
CCND2	-10000	42834	0	25340	Ab4_MC	-4896	-1769
CCND2	-10000	42834	0	25340	Ab4_MC	-97	1709
CCND2	-10000	42834	0	25340	Ab6_MC	-342	2384
CCND2	-10000	42834	0	25340	Ab6_MC	41375	42834
CCND3	-10000	94638	0	94638	Ab6_MC	-485	2088
CCND3	-10000	94638	0	94638	Ab6_MC	-485	2088
CCND3	-10000	94638	0	94638	Ab6_MC	88338	93005
CCNE1	-77011	10000	0	9506	Ab6_MC	-42	1108
CCNE1	-77011	10000	0	9506	Ab6_MC	-77011	-75223
CCNE1	-77011	10000	0	9506	Ab6_MC	-799	-332
CD1D1	-10000	10000	0	3502	Ab6_MC	-180	609
CD34	-10000	38644	0	22371	Ab6_MC	37433	38644
CD9	-10000	69943	0	34489	Ab6_MC	-667	3506
CD9	-10000	69943	0	34489	Ab6_MC	-667	3506
CD9	-10000	69943	0	34489	Ab6_MC	68690	69943
CDH15	-10000	19023	0	19023	Ab6_MC	-45	4431
CDK4	-10000	15750	0	3780	Ab6_MC	14982	15750
CDK4	-10000	15750	0	3780	Ab6_MC	4048	8167
CDK4	-10000	15750	0	3780	Ab6_MC	-806	2157
CDK6	-10000	199705	0	177913	Ab6_MC	199225	199705
CDK6	-10000	199705	0	177913	Ab6_MC	-2896	785
CDK6	-10000	199705	0	177913	Ab6_MC	-3877	-2973
CDKN1A	-15915	10000	0	6947	Ab6_MC	-15915	-14761
CDKN1A	-15915	10000	0	6947	Ab6_MC	-673	4204
CDKN1B	-23315	11331	0	3641	Ab6_MC	-1320	-133
CDKN1B	-23315	11331	0	3641	Ab6_MC	-22419	-20825
CDKN1B	-23315	11331	0	3641	Ab6_MC	-23315	-22505
CDKN1B	-23315	11331	0	3641	Ab6_MC	-3858	-2945
CDKN1B	-23315	11331	0	3641	Ab6_MC	5903	11331
CDKN1B	-23315	11331	0	3641	Ab6_MC	-63	2364
CDX2	-10000	33738	0	6349	Ab4_MC	29794	30775
CDX2	-10000	33738	0	6349	Ab4_MC	31002	33738
CDX2	-10000	33738	0	6349	Ab4_MC	5153	6308
CDX2	-10000	33738	0	6349	Ab4_MC	-636	3585
CDX2	-10000	33738	0	6349	Ab4_MC	-8615	-7041
CEBPB	-27180	128510	0	1503	Ab6_MC	1151	4285
CEBPB	-27180	128510	0	1503	Ab6_MC	126980	128510
CEBPB	-27180	128510	0	1503	Ab6_MC	-27180	-26464
CEBPB	-27180	128510	0	1503	Ab6_MC	88081	90018
CEBPB	-27180	128510	0	1503	Ab6_MC	-902	-237
CEBPB	-27180	128510	0	1503	Ab6_MC	98	998
CFC1	-10000	10000	0	8663	Ab4_MC	970	2201
CKAP2	-10000	19496	0	17370	Ab6_MC	18682	19496
CKAP2	-10000	19496	0	17370	Ab6_MC	-437	1713
CLK1	-10000	12088	0	12088	Ab6_MC	-344	1744
CLK3	-10000	15149	0	15149	Ab6_MC	-177	659
CLK3	-10000	15149	0	15149	Ab6_MC	727	2261
CNN1	-14620	10349	0	10349	Ab6_MC	-14620	-12985
CNN2	-10000	9496	0	6800	Ab6_MC	-4265	-1465
CNN2	-10000	9496	0	6800	Ab6_MC	7761	9496
CNN2	-10000	9496	0	6800	Ab6_MC	-781	1886
COL3A1	-10000	37374	0	37374	Ab6_MC	-781	4706
CREB1	-414545	71744	0	71744	Ab6_MC	-1776	-45
CREB1	-414545	71744	0	71744	Ab6_MC	-410994	-409983
CREB1	-414545	71744	0	71744	Ab6_MC	-414545	-411159
CREB1	-414545	71744	0	71744	Ab6_MC	56	421
CREB1	-414545	71744	0	71744	Ab6_MC	715	1822
CS	-10000	24647	0	24647	Ab6_MC	-1120	-187
CS	-10000	24647	0	24647	Ab6_MC	-95	1500
CSAD	-17294	12045	0	12045	Ab6_MC	-14683	-13047
CSAD	-17294	12045	0	12045	Ab6_MC	-17294	-15050
CSPG4	-10000	33975	0	33975	Ab6_MC	-1176	3545
CTNNAL1	-10000	643338	0	54253	Ab6_MC	-179	1252
CTNNAL1	-10000	643338	0	54253	Ab6_MC	642616	643338
CTNNB1	-10000	27032	0	27032	Ab6_MC	401	3679
CTSF	-10000	10000	0	5783	Ab4_MC	-2635	-2120
CTSL	-63271	26661	0	7092	Ab6_MC	-1123	-117
CTSL	-63271	26661	0	7092	Ab6_MC	25464	26661
CTSL	-63271	26661	0	7092	Ab6_MC	-54	766
CTSL	-63271	26661	0	7092	Ab6_MC	-63271	-61686
CTSL	-63271	26661	0	7092	Ab6_MC	842	2518
CXCR4	-240853	176147	0	4100	Ab6_MC	118985	120329
CXCR4	-240853	176147	0	4100	Ab6_MC	-1424	1730
CXCR4	-240853	176147	0	4100	Ab6_MC	174284	176147
CXCR4	-240853	176147	0	4100	Ab6_MC	-240853	-239591
CYR61	-10000	10000	0	3005	Ab6_MC	-4304	2857
CYR61	-10000	10000	0	3005	Ab6_MC	-4304	2857
D4WSU53E	-10208	8718	0	3733	Ab6_MC	-10208	-8121
D4WSU53E	-10208	8718	0	3733	Ab6_MC	-1188	3173
D4WSU53E	-10208	8718	0	3733	Ab6_MC	7224	8718
DAZL	-215862	14198	0	14198	Ab6_MC	-177018	-176111
DAZL	-215862	14198	0	14198	Ab6_MC	-215862	-215657
DDAH1	-10000	167119	0	132946	Ab6_MC	164918	165315
DDAH1	-10000	167119	0	132946	Ab6_MC	165555	167119
DDAH1	-10000	167119	0	132946	Ab6_MC	-758	-75
DDAH1	-10000	167119	0	132946	Ab6_MC	-758	-75
DDIT3	-10000	21870	0	5476	Ab6_MC	-1751	-399
DDIT3	-10000	21870	0	5476	Ab6_MC	19203	21870
DDIT3	-10000	21870	0	5476	Ab6_MC	-3899	-1862
DDIT3	-10000	21870	0	5476	Ab6_MC	-91	2749
