Gene	TiledRegionStart	TiledRegionStop	GeneStart	GeneStop	Mark	RegionStart	RegionStop
6720457D02RIK	-140807	91787	0	41802	-	-	-
8430410A17RIK	-381	66445	0	22638	H3K4me3	290	899
8430410A17RIK	-381	66445	0	22638	H3K9ac	49710	50389
8430410A17RIK	-381	66445	0	22638	H3K9me2	290	899
AATF	-5878	111854	0	90645	H3K27me3	-3016	-1757
AATF	-5878	111854	0	90645	H3K4me3	-2616	-1657
ABCB1B	-49667	95531	0	68122	-	-	-
ABCG2	-123794	237017	0	95779	H3K27me3	53637	54456
ABCG2	-123794	237017	0	95779	H3K4me3	234587	235446
ABCG2	-123794	237017	0	95779	H3K9ac	53637	54456
ACE	-23815	26769	0	21298	H3K27me3	-21624	-20865
ACE	-23815	26769	0	21298	H3K27me3	-274	485
ACE	-23815	26769	0	21298	H3K27me3	11576	13035
ACE	-23815	26769	0	21298	H3K9ac	12326	13285
ACE	-23815	26769	0	21298	H3K9me2	6926	7685
ACE	-23815	26769	0	21298	H3K9me2	12376	13285
ACO1	-691485	62525	0	55744	H3K27me3	-244	515
ACO1	-691485	62525	0	55744	H3K4me3	-474	765
ACO1	-691485	62525	0	55744	H3K9me2	-244	765
ACO1	-691485	62525	0	55744	H3K9me2	50506	51115
ACTB	-53631	8806	0	3608	H3K27me3	-14814	-14035
ACTB	-53631	8806	0	3608	H3K27me3	-53604	-52655
ACTB	-53631	8806	0	3608	H3K4me3	-1964	-1355
ACTB	-53631	8806	0	3608	H3K4me3	-14814	-14035
ACTB	-53631	8806	0	3608	H3K4me3	-53604	-52405
ACTB	-53631	8806	0	3608	H3K9ac	36	935
ACTB	-53631	8806	0	3608	H3K9ac	-14814	-14035
ACTB	-53631	8806	0	3608	H3K9ac	-53604	-52655
ACTB	-53631	8806	0	3608	H3K9me2	-14814	-14035
ACTB	-53631	8806	0	3608	H3K9me2	-20164	-19195
ACTB	-53631	8806	0	3608	H3K9me2	-49114	-48455
ACTB	-53631	8806	0	3608	H3K9me2	-53614	-52605
ACTC1	-48361	20519	0	5522	H3K27me3	-871	1238
ACTC1	-48361	20519	0	5522	H3K27me3	-1921	-1252
ACTC1	-48361	20519	0	5522	H3K4me3	279	1238
ACTC1	-48361	20519	0	5522	H3K4me3	-871	38
ACTC1	-48361	20519	0	5522	H3K9ac	279	1238
ACTC1	-48361	20519	0	5522	H3K9ac	-871	-12
ACTC1	-48361	20519	0	5522	H3K9me2	-11481	-10812
ADAM19	-3638	92168	0	91356	H3K27me3	-687	822
ADAM19	-3638	92168	0	91356	H3K27me3	17963	18572
ADAM19	-3638	92168	0	91356	H3K27me3	66463	67222
ADAM19	-3638	92168	0	91356	H3K4me3	-227	1572
ADAM19	-3638	92168	0	91356	H3K4me3	32563	33272
ADAM19	-3638	92168	0	91356	H3K4me3	66463	67222
ADAM19	-3638	92168	0	91356	H3K9ac	-227	1022
ADAM19	-3638	92168	0	91356	H3K9ac	66463	67222
ADAM19	-3638	92168	0	91356	H3K9me2	8713	9572
ADAM19	-3638	92168	0	91356	H3K9me2	66463	67222
ADAM23	-131332	176947	0	150611	H3K27me3	-21	788
ADAM23	-131332	176947	0	150611	H3K27me3	7229	8088
ADAM23	-131332	176947	0	150611	H3K4me3	-21	988
ADAM23	-131332	176947	0	150611	H3K4me3	7429	8088
ADAM23	-131332	176947	0	150611	H3K4me3	145729	146338
ADAM23	-131332	176947	0	150611	H3K9ac	-21	688
ADAM23	-131332	176947	0	150611	H3K9ac	7229	8088
ADAM23	-131332	176947	0	150611	H3K9me2	-25241	-24462
ADAM23	-131332	176947	0	150611	H3K9me2	-21	788
ADAM23	-131332	176947	0	150611	H3K9me2	7279	8088
ADAM9	-486	68007	0	67169	H3K27me3	-453	426
ADAM9	-486	68007	0	67169	H3K4me3	4097	4706
ADAM9	-486	68007	0	67169	H3K4me3	-453	426
ADAM9	-486	68007	0	67169	H3K9ac	4097	4706
ADAM9	-486	68007	0	67169	H3K9ac	-453	426
AIM1	-263512	56984	0	54539	H3K27me3	5434	6493
AIM1	-263512	56984	0	54539	H3K4me3	5384	6493
AIM1	-263512	56984	0	54539	H3K9me2	-167466	-166807
AK1	-8700	17091	0	5548	H3K27me3	-1469	1590
AK1	-8700	17091	0	5548	H3K27me3	13381	14040
AK1	-8700	17091	0	5548	H3K4me3	-2869	-1840
AK1	-8700	17091	0	5548	H3K4me3	-1469	4620
AK1	-8700	17091	0	5548	H3K4me3	15131	15790
AK1	-8700	17091	0	5548	H3K9ac	-1469	1090
AK1	-8700	17091	0	5548	H3K9ac	15131	15740
AK1	-8700	17091	0	5548	H3K9me2	-8289	-7480
AK1	-8700	17091	0	5548	H3K9me2	-1469	840
AK1	-8700	17091	0	5548	H3K9me2	13381	14040
AK1	-8700	17091	0	5548	H3K9me2	15131	16440
AK3L1	-63511	123539	0	47236	-	-	-
AKP2	-65974	66456	0	54584	H3K27me3	65036	66455
AKP2	-65974	66456	0	54584	H3K27me3	63126	63935
AKP2	-65974	66456	0	54584	H3K27me3	62276	62895
