Gene	TiledRegionStart	TiledRegionStop	GeneStart	GeneStop	Mark	RegionStart	RegionStop	PairID
AATF	-5878	111854	0	90645	H3K27me3	-3016	-1757	1
AATF	-5878	111854	0	90645	H3K4me3	-2616	-1657	1
ACO1	-691485	62525	0	55744	H3K4me3	-474	765	1
ACO1	-691485	62525	0	55744	H3K27me3	-244	515	1
ACTB	-53631	8806	0	3608	H3K27me3	-53604	-52655	1
ACTB	-53631	8806	0	3608	H3K4me3	-53604	-52405	1
ACTB	-53631	8806	0	3608	H3K27me3	-14814	-14035	2
ACTB	-53631	8806	0	3608	H3K4me3	-14814	-14035	2
ACTC1	-48361	20519	0	5522	H3K27me3	-871	1238	1
ACTC1	-48361	20519	0	5522	H3K4me3	-871	38	1
ADAM19	-3638	92168	0	91356	H3K27me3	-687	822	1
ADAM19	-3638	92168	0	91356	H3K4me3	-227	1572	1
ADAM19	-3638	92168	0	91356	H3K27me3	66463	67222	2
ADAM19	-3638	92168	0	91356	H3K4me3	66463	67222	2
ADAM23	-131332	176947	0	150611	H3K27me3	-21	788	1
ADAM23	-131332	176947	0	150611	H3K4me3	-21	988	1
ADAM23	-131332	176947	0	150611	H3K27me3	7229	8088	2
ADAM23	-131332	176947	0	150611	H3K4me3	7429	8088	2
ADAM9	-486	68007	0	67169	H3K27me3	-453	426	1
ADAM9	-486	68007	0	67169	H3K4me3	-453	426	1
AIM1	-263512	56984	0	54539	H3K4me3	5384	6493	1
AIM1	-263512	56984	0	54539	H3K27me3	5434	6493	1
AK1	-8700	17091	0	5548	H3K27me3	-1469	1590	1
AK1	-8700	17091	0	5548	H3K4me3	-1469	4620	1
AKP2	-65974	66456	0	54584	H3K27me3	-64324	-63705	1
AKP2	-65974	66456	0	54584	H3K4me3	-64324	-63705	1
AKP2	-65974	66456	0	54584	H3K27me3	-56604	-55885	2
AKP2	-65974	66456	0	54584	H3K4me3	-56604	-55885	2
AKP2	-65974	66456	0	54584	H3K27me3	1676	2665	3
AKP2	-65974	66456	0	54584	H3K4me3	1676	2665	3
AKP2	-65974	66456	0	54584	H3K27me3	12026	12905	4
AKP2	-65974	66456	0	54584	H3K4me3	12076	12905	4
AKP2	-65974	66456	0	54584	H3K27me3	25776	27635	5
AKP2	-65974	66456	0	54584	H3K4me3	25776	26735	5
AKP2	-65974	66456	0	54584	H3K27me3	33176	34095	6
AKP2	-65974	66456	0	54584	H3K4me3	33176	34095	6
AKP2	-65974	66456	0	54584	H3K27me3	44476	45535	7
AKP2	-65974	66456	0	54584	H3K4me3	44476	45535	7
AKP2	-65974	66456	0	54584	H3K27me3	59326	60305	8
AKP2	-65974	66456	0	54584	H3K4me3	59326	60305	8
AKP2	-65974	66456	0	54584	H3K27me3	65036	66455	9
AKP2	-65974	66456	0	54584	H3K4me3	65086	66045	9
ALDH7A1	-142	69080	0	47136	H3K27me3	10110	10969	1
ALDH7A1	-142	69080	0	47136	H3K4me3	10110	10969	1
ANKRD1	-259223	15071	0	7879	H3K4me3	-230029	-228670	1
ANKRD1	-259223	15071	0	7879	H3K27me3	-229479	-228670	1
ATXN1	-277	418595	0	410083	H3K4me3	-165	1054	1
ATXN1	-277	418595	0	410083	H3K27me3	-155	1044	1
ATXN1	-277	418595	0	410083	H3K27me3	399485	400094	2
ATXN1	-277	418595	0	410083	H3K4me3	399485	400094	2
BAX	-6665	7012	0	5203	H3K27me3	2	1091	1
BAX	-6665	7012	0	5203	H3K4me3	2	1091	1
BGN	-24615	19442	0	12287	H3K27me3	-9274	-8315	1
BGN	-24615	19442	0	12287	H3K4me3	-9224	-7965	1
BGN	-24615	19442	0	12287	H3K27me3	10576	11335	2
BGN	-24615	19442	0	12287	H3K4me3	10576	11335	2
