Gene	TiledRegionStart	TiledRegionStop	GeneStart	GeneStop	Mark	RegionStart	RegionStop	PairID
AK1	-8700	17091	0	5548	H3K9ac	15131	15740	1
AK1	-8700	17091	0	5548	H3K27me3	13381	14040	1
AKP2	-65974	66456	0	54584	H3K9ac	38426	39445	1
AKP2	-65974	66456	0	54584	H3K27me3	39676	40585	1
AKP2	-65974	66456	0	54584	H3K9ac	3076	3785	2
AKP2	-65974	66456	0	54584	H3K27me3	1676	2665	2
BGN	-24615	19442	0	12287	H3K9ac	16226	16985	1
BGN	-24615	19442	0	12287	H3K27me3	18126	19235	1
BMP4	-179545	676758	0	7079	H3K9ac	409808	410467	1
BMP4	-179545	676758	0	7079	H3K27me3	406608	407517	1
CCND1	-266463	18788	0	9994	H3K9ac	-194082	-193073	1
CCND1	-266463	18788	0	9994	H3K27me3	-192082	-191473	1
CCND1	-266463	18788	0	9994	H3K9ac	-202332	-201683	2
CCND1	-266463	18788	0	9994	H3K27me3	-204582	-203923	2
CCND1	-266463	18788	0	9994	H3K9ac	-243032	-242373	3
CCND1	-266463	18788	0	9994	H3K27me3	-240182	-239233	3
