Gene	TiledRegionStart	TiledRegionStop	GeneStart	GeneStop	Mark	RegionStart	RegionStop
AATF	-5878	111854	0	90645	H3K27me3	-3016	-1757
AATF	-5878	111854	0	90645	H3K4me3	-2616	-1657
ACO1	-691485	62525	0	55744	H3K27me3	-244	515
ACO1	-691485	62525	0	55744	H3K4me3	-474	765
ACTB	-53631	8806	0	3608	H3K27me3	-14814	-14035
ACTB	-53631	8806	0	3608	H3K27me3	-53604	-52655
ACTB	-53631	8806	0	3608	H3K4me3	-14814	-14035
ACTB	-53631	8806	0	3608	H3K4me3	-53604	-52405
ACTC1	-48361	20519	0	5522	H3K27me3	-871	1238
ACTC1	-48361	20519	0	5522	H3K4me3	-871	38
ADAM19	-3638	92168	0	91356	H3K27me3	-687	822
ADAM19	-3638	92168	0	91356	H3K27me3	66463	67222
ADAM19	-3638	92168	0	91356	H3K4me3	-227	1572
ADAM19	-3638	92168	0	91356	H3K4me3	66463	67222
ADAM23	-131332	176947	0	150611	H3K27me3	-21	788
ADAM23	-131332	176947	0	150611	H3K27me3	7229	8088
ADAM23	-131332	176947	0	150611	H3K4me3	-21	988
ADAM23	-131332	176947	0	150611	H3K4me3	7429	8088
ADAM9	-486	68007	0	67169	H3K27me3	-453	426
ADAM9	-486	68007	0	67169	H3K4me3	-453	426
AIM1	-263512	56984	0	54539	H3K27me3	5434	6493
AIM1	-263512	56984	0	54539	H3K4me3	5384	6493
AK1	-8700	17091	0	5548	H3K27me3	-1469	1590
AK1	-8700	17091	0	5548	H3K4me3	-1469	4620
AKP2	-65974	66456	0	54584	H3K27me3	65036	66455
AKP2	-65974	66456	0	54584	H3K27me3	59326	60305
AKP2	-65974	66456	0	54584	H3K27me3	44476	45535
AKP2	-65974	66456	0	54584	H3K27me3	33176	34095
AKP2	-65974	66456	0	54584	H3K27me3	25776	27635
AKP2	-65974	66456	0	54584	H3K27me3	12026	12905
AKP2	-65974	66456	0	54584	H3K27me3	1676	2665
AKP2	-65974	66456	0	54584	H3K27me3	-56604	-55885
AKP2	-65974	66456	0	54584	H3K27me3	-64324	-63705
AKP2	-65974	66456	0	54584	H3K4me3	65086	66045
AKP2	-65974	66456	0	54584	H3K4me3	59326	60305
AKP2	-65974	66456	0	54584	H3K4me3	44476	45535
AKP2	-65974	66456	0	54584	H3K4me3	33176	34095
AKP2	-65974	66456	0	54584	H3K4me3	25776	26735
AKP2	-65974	66456	0	54584	H3K4me3	12076	12905
AKP2	-65974	66456	0	54584	H3K4me3	1676	2665
AKP2	-65974	66456	0	54584	H3K4me3	-56604	-55885
AKP2	-65974	66456	0	54584	H3K4me3	-64324	-63705
ALDH7A1	-142	69080	0	47136	H3K27me3	10110	10969
ALDH7A1	-142	69080	0	47136	H3K4me3	10110	10969
ANKRD1	-259223	15071	0	7879	H3K27me3	-229479	-228670
ANKRD1	-259223	15071	0	7879	H3K4me3	-230029	-228670
ATXN1	-277	418595	0	410083	H3K27me3	399485	400094
ATXN1	-277	418595	0	410083	H3K27me3	-155	1044
ATXN1	-277	418595	0	410083	H3K4me3	399485	400094
ATXN1	-277	418595	0	410083	H3K4me3	-165	1054
BAX	-6665	7012	0	5203	H3K27me3	2	1091
BAX	-6665	7012	0	5203	H3K4me3	2	1091
BGN	-24615	19442	0	12287	H3K27me3	-9274	-8315
BGN	-24615	19442	0	12287	H3K27me3	10576	11335
BGN	-24615	19442	0	12287	H3K27me3	13026	13835
BGN	-24615	19442	0	12287	H3K27me3	18126	19235
BGN	-24615	19442	0	12287	H3K4me3	-9224	-7965
BGN	-24615	19442	0	12287	H3K4me3	10576	11335
BGN	-24615	19442	0	12287	H3K4me3	13176	13835
BGN	-24615	19442	0	12287	H3K4me3	17876	18485
BMP4	-179545	676758	0	7079	H3K27me3	511608	512267
BMP4	-179545	676758	0	7079	H3K27me3	406608	407517
BMP4	-179545	676758	0	7079	H3K27me3	193908	194577
BMP4	-179545	676758	0	7079	H3K4me3	511608	512267
BMP4	-179545	676758	0	7079	H3K4me3	406608	407517
BMP4	-179545	676758	0	7079	H3K4me3	193908	194567
BMP6	-118053	154559	0	154012	H3K27me3	58718	59777
BMP6	-118053	154559	0	154012	H3K27me3	123578	124227
BMP6	-118053	154559	0	154012	H3K27me3	124918	125827
BMP6	-118053	154559	0	154012	H3K4me3	58718	59777
BMP6	-118053	154559	0	154012	H3K4me3	123578	124277
BMP6	-118053	154559	0	154012	H3K4me3	125078	125827
BRCA1	-3738	77814	0	60356	H3K27me3	77174	77803
BRCA1	-3738	77814	0	60356	H3K4me3	77114	77803
C80913	-78442	141263	0	59540	H3K27me3	134593	135602
C80913	-78442	141263	0	59540	H3K27me3	-157	552
C80913	-78442	141263	0	59540	H3K27me3	-71407	-70498
C80913	-78442	141263	0	59540	H3K4me3	134643	135502
C80913	-78442	141263	0	59540	H3K4me3	-157	552
C80913	-78442	141263	0	59540	H3K4me3	-71407	-70498
CBX2	-30188	15407	0	8241	H3K27me3	83	1022
CBX2	-30188	15407	0	8241	H3K27me3	10813	11522
CBX2	-30188	15407	0	8241	H3K4me3	83	1972
CBX2	-30188	15407	0	8241	H3K4me3	10813	11522
CBX4	-60996	45228	0	5986	H3K27me3	-22010	-20271
CBX4	-60996	45228	0	5986	H3K27me3	-51160	-49051
CBX4	-60996	45228	0	5986	H3K27me3	-53310	-51681
CBX4	-60996	45228	0	5986	H3K4me3	-22260	-21151
CBX4	-60996	45228	0	5986	H3K4me3	-51160	-49401
