Gene	TiledRegionStart	TiledRegionStop	GeneStart	GeneStop	Mark	RegionStart	RegionStop
AK1	-8700	17091	0	5548	H3K9ac	15131	15740
AK1	-8700	17091	0	5548	H3K27me3	13381	14040
AKP2	-65974	66456	0	54584	H3K9ac	38426	39445
AKP2	-65974	66456	0	54584	H3K9ac	3076	3785
AKP2	-65974	66456	0	54584	H3K27me3	39676	40585
AKP2	-65974	66456	0	54584	H3K27me3	1676	2665
BGN	-24615	19442	0	12287	H3K9ac	16226	16985
BGN	-24615	19442	0	12287	H3K27me3	18126	19235
BMP4	-179545	676758	0	7079	H3K9ac	409808	410467
BMP4	-179545	676758	0	7079	H3K27me3	406608	407517
CCND1	-266463	18788	0	9994	H3K9ac	-194082	-193073
CCND1	-266463	18788	0	9994	H3K9ac	-202332	-201683
CCND1	-266463	18788	0	9994	H3K9ac	-243032	-242373
CCND1	-266463	18788	0	9994	H3K27me3	-192082	-191473
CCND1	-266463	18788	0	9994	H3K27me3	-204582	-203923
CCND1	-266463	18788	0	9994	H3K27me3	-240182	-239233
CCND3	-2764	95029	0	94638	H3K9ac	2874	3513
CCND3	-2764	95029	0	94638	H3K9ac	92754	93463
CCND3	-2764	95029	0	94638	H3K27me3	6074	7113
CCND3	-2764	95029	0	94638	H3K27me3	90654	91763
CEBPB	-27371	242134	0	1503	H3K9ac	-2750	-2101
CEBPB	-27371	242134	0	1503	H3K27me3	-1200	-251
CSPG4	-13197	52040	0	33975	H3K9ac	-4566	-3757
CSPG4	-13197	52040	0	33975	H3K9ac	11634	12543
CSPG4	-13197	52040	0	33975	H3K9ac	15734	17193
CSPG4	-13197	52040	0	33975	H3K27me3	-1066	-357
CSPG4	-13197	52040	0	33975	H3K27me3	8804	9643
CSPG4	-13197	52040	0	33975	H3K27me3	19674	20393
DES	-42707	14953	0	7372	H3K9ac	1564	2293
DES	-42707	14953	0	7372	H3K27me3	-1366	-707
ENG	-11543	36014	0	35523	H3K9ac	9090	9699
ENG	-11543	36014	0	35523	H3K27me3	7990	8749
FBLN2	-38081	151219	0	59776	H3K9ac	124250	124909
FBLN2	-38081	151219	0	59776	H3K27me3	125300	126059
FHL1	-69894	66166	0	61559	H3K9ac	-61623	-60964
FHL1	-69894	66166	0	61559	H3K27me3	-65323	-64454
FOXP3	-1278	27410	0	15541	H3K9ac	15433	17542
FOXP3	-1278	27410	0	15541	H3K27me3	18823	20192
GATA2	-93364	23600	0	8361	H3K9ac	-82953	-82344
GATA2	-93364	23600	0	8361	H3K27me3	-86063	-84634
KLF4	-1207539	141254	0	5201	H3K9ac	-1176	13
KLF4	-1207539	141254	0	5201	H3K27me3	724	2883
MYOD1	-66313	21060	0	2613	H3K9ac	-292	567
MYOD1	-66313	21060	0	2613	H3K27me3	-3992	-3183
NOTCH1	-77446	58421	0	45613	H3K9ac	41241	42100
NOTCH1	-77446	58421	0	45613	H3K27me3	39541	40250
PAX7	-77520	162688	0	94887	H3K9ac	65968	66777
PAX7	-77520	162688	0	94887	H3K27me3	64268	65527
PCOLCE	-1101	10364	0	6297	H3K9ac	-1086	173
PCOLCE	-1101	10364	0	6297	H3K27me3	264	1193
PROX1	-590340	248392	0	48905	H3K9ac	-520158	-519299
PROX1	-590340	248392	0	48905	H3K27me3	-517008	-516049
PTCH2	-23952	28266	0	18475	H3K9ac	8749	9458
PTCH2	-23952	28266	0	18475	H3K27me3	7269	8358
PYCR2	-5206	30730	0	3779	H3K9ac	4615	5274
PYCR2	-5206	30730	0	3779	H3K27me3	2965	3724
SALL4	-158170	25401	0	18869	H3K9ac	4841	5450
SALL4	-158170	25401	0	18869	H3K27me3	-109	2150
SELPLG	-12006	30075	0	11881	H3K9ac	1975	2584
SELPLG	-12006	30075	0	11881	H3K27me3	-425	384
SERTAD1	-9589	12371	0	3361	H3K9ac	172	841
SERTAD1	-9589	12371	0	3361	H3K9ac	2332	3141
SERTAD1	-9589	12371	0	3361	H3K27me3	3482	4191
SERTAD1	-9589	12371	0	3361	H3K27me3	3482	4191
SOCS2	-63985	92724	0	4779	H3K9ac	-806	413
SOCS2	-63985	92724	0	4779	H3K27me3	694	1653
STXBP1	-29099	62721	0	59164	H3K9ac	-20769	-20100
STXBP1	-29099	62721	0	59164	H3K27me3	-22419	-21060
TOB1	-55678	26144	0	4041	H3K9ac	-39867	-39158
TOB1	-55678	26144	0	4041	H3K27me3	-36417	-35408
TPM1	-168923	73729	0	26620	H3K9ac	-104591	-103982
TPM1	-168923	73729	0	26620	H3K27me3	-103441	-102782
TRIP6	-318	7074	0	4342	H3K9ac	3304	3963
TRIP6	-318	7074	0	4342	H3K27me3	-296	1633
TSC22D3	-77506	124383	0	60994	H3K9ac	92243	92902
TSC22D3	-77506	124383	0	60994	H3K27me3	88793	89702
WBP7	-955	20764	0	19871	H3K9ac	334	2143
WBP7	-955	20764	0	19871	H3K27me3	-816	-167
WDR45	-149	6322	0	5952	H3K9ac	4132	5141
WDR45	-149	6322	0	5952	H3K27me3	-148	1291
WNT4	-228940	42068	0	19144	H3K9ac	-200649	-199780
WNT4	-228940	42068	0	19144	H3K9ac	-81209	-80540
WNT4	-228940	42068	0	19144	H3K27me3	-202479	-201240
WNT4	-228940	42068	0	19144	H3K27me3	-79849	-78990
