Gene	TiledRegionStart	TiledRegionStop	GeneStart	GeneStop	Mark	RegionStart	RegionStop
6720457D02RIK	-140807	91787	0	41802	H3K4me3	-13	384
6720457D02RIK	-140807	91787	0	41802	H3K4me3	-126293	-125667
8430410A17RIK	-381	66445	0	22638	H3K4me3	-312	1349
AATF	-5878	111854	0	90645	H3K4me3	-103	1107
ABCB1B	-49667	95531	0	68122	H3K4me3	-360	983
ABCG2	-123794	237017	0	95779	H3K4me3	-569	-32
ABCG2	-123794	237017	0	95779	H3K4me3	43646	44372
ABCG2	-123794	237017	0	95779	H3K4me3	234560	235676
ACE	-23815	26769	0	21298	-	-	-
ACO1	-691485	62525	0	55744	H3K4me3	-726	-362
ACO1	-691485	62525	0	55744	H3K4me3	165	1174
ACTB	-53631	8806	0	3608	H3K4me3	3519	4262
ACTB	-53631	8806	0	3608	H3K4me3	-40	3416
ACTB	-53631	8806	0	3608	H3K4me3	-1133	-95
ACTB	-53631	8806	0	3608	H3K4me3	-23024	-22179
ACTB	-53631	8806	0	3608	H3K4me3	-23379	-23099
ACTC1	-48361	20519	0	5522	-	-	-
ADAM19	-3638	92168	0	91356	H3K4me3	-218	1619
ADAM23	-131332	176947	0	150611	-	-	-
ADAM9	-486	68007	0	67169	H3K4me3	-187	1328
AIM1	-263512	56984	0	54539	H3K4me3	-75	2502
AIM1	-263512	56984	0	54539	H3K4me3	-263422	-262343
AK1	-8700	17091	0	5548	H3K4me3	-1133	1780
AK3L1	-63511	123539	0	47236	H3K27me3	96	1825
AKP2	-65974	66456	0	54584	H3K27me3	43257	45153
AKP2	-65974	66456	0	54584	H3K27me3	39900	42651
AKP2	-65974	66456	0	54584	H3K27me3	32587	34333
AKP2	-65974	66456	0	54584	H3K27me3	25658	27949
AKP2	-65974	66456	0	54584	H3K27me3	17197	18668
AKP2	-65974	66456	0	54584	H3K27me3	-4581	813
AKP2	-65974	66456	0	54584	H3K27me3	51934	60304
AKP2	-65974	66456	0	54584	H3K27me3	36927	39818
ALCAM	-414896	246027	0	203161	H3K4me3	1002	3951
ALCAM	-414896	246027	0	203161	H3K4me3	218	726
ALCAM	-414896	246027	0	203161	H3K4me3	-631	145
ALDH7A1	-142	69080	0	47136	H3K4me3	-29	577
ANGPT1	-344000	356449	0	252072	H3K4me3	-646	2361
ANKRD1	-259223	15071	0	7879	H3K4me3	-10163	-9816
