Gene	TiledRegionStart	TiledRegionStop	GeneStart	GeneStop	Mark	RegionStart	RegionStop
6720457D02RIK	-140807	91787	0	41802	H3K4me3	-381	322
6720457D02RIK	-140807	91787	0	41802	H3K4me3	-65911	-65201
6720457D02RIK	-140807	91787	0	41802	H3K4me3	-95040	-94389
6720457D02RIK	-140807	91787	0	41802	H3K4me3	-126291	-125583
6720457D02RIK	-140807	91787	0	41802	H3K4me3	-126688	-126422
8430410A17RIK	-381	66445	0	22638	H3K4me3	-220	1578
AATF	-5878	111854	0	90645	H3K4me3	-65	1404
AATF	-5878	111854	0	90645	H3K4me3	-989	-196
ABCB1B	-49667	95531	0	68122	H3K4me3	-345	1166
ABCG2	-123794	237017	0	95779	H3K4me3	-973	584
ABCG2	-123794	237017	0	95779	H3K4me3	43877	44863
ABCG2	-123794	237017	0	95779	H3K4me3	235216	236050
ACE	-23815	26769	0	21298	-	-	-
ACO1	-691485	62525	0	55744	H3K4me3	-900	99
ACO1	-691485	62525	0	55744	H3K4me3	158	1611
ACTB	-53631	8806	0	3608	H3K4me3	-51	4447
ACTB	-53631	8806	0	3608	H3K4me3	-2189	-134
ACTB	-53631	8806	0	3608	H3K4me3	-23476	-22081
ACTC1	-48361	20519	0	5522	H3K4me3	3137	5186
ACTC1	-48361	20519	0	5522	H3K4me3	-829	2892
ADAM19	-3638	92168	0	91356	H3K4me3	-573	2581
ADAM23	-131332	176947	0	150611	-	-	-
ADAM9	-486	68007	0	67169	H3K4me3	-19	2155
AIM1	-263512	56984	0	54539	H3K4me3	-57	2925
AK1	-8700	17091	0	5548	H3K4me3	-1417	921
AK3L1	-63511	123539	0	47236	H3K27me3	68	1110
AK3L1	-63511	123539	0	47236	H3K4me3	-63171	-62107
AKP2	-65974	66456	0	54584	H3K27me3	63004	64562
AKP2	-65974	66456	0	54584	H3K27me3	56982	61523
AKP2	-65974	66456	0	54584	H3K27me3	54590	56911
AKP2	-65974	66456	0	54584	H3K27me3	51056	54071
AKP2	-65974	66456	0	54584	H3K27me3	44125	47255
AKP2	-65974	66456	0	54584	H3K27me3	43286	44046
AKP2	-65974	66456	0	54584	H3K27me3	40154	43118
AKP2	-65974	66456	0	54584	H3K27me3	17249	17996
AKP2	-65974	66456	0	54584	H3K27me3	-1224	2634
AKP2	-65974	66456	0	54584	H3K27me3	20902	28356
AKP2	-65974	66456	0	54584	H3K4me3	-65885	-64929
ALCAM	-414896	246027	0	203161	H3K4me3	880	4342
ALCAM	-414896	246027	0	203161	H3K4me3	-479	822
ALDH7A1	-142	69080	0	47136	H3K4me3	-37	512
ANGPT1	-344000	356449	0	252072	H3K4me3	-402	2785
ANKRD1	-259223	15071	0	7879	H3K4me3	-10220	-9166
ANKRD1	-259223	15071	0	7879	H3K4me3	-228575	-227686
ANKRD1	-259223	15071	0	7879	H3K4me3	-229961	-228680
ANKRD1	-259223	15071	0	7879	H3K4me3	-948	5798
ARIH2	-12718	51780	0	46438	H3K4me3	-1101	1459
ASH2L	-1953	31688	0	30800	H3K4me3	7214	8539
ASH2L	-1953	31688	0	30800	H3K4me3	5296	7133
ATXN1	-277	418595	0	410083	H3K4me3	1105	2258
ATXN1	-277	418595	0	410083	H3K4me3	619	1032
ATXN1	-277	418595	0	410083	H3K4me3	-151	553
B2M	-91089	13013	0	5395	H3K4me3	-30411	-28474
B2M	-91089	13013	0	5395	H3K4me3	-622	2642
BAX	-6665	7012	0	5203	H3K4me3	5433	6960
BAX	-6665	7012	0	5203	H3K4me3	-381	1604
BDNF	-332953	216178	0	52343	H3K4me3	1944	3449
BDNF	-332953	216178	0	52343	H3K4me3	3520	4745
