Gene	TiledRegionStart	TiledRegionStop	GeneStart	GeneStop	Mark	RegionStart	RegionStop	PairID
AK1	-8700	17091	0	5548	H3K27me3	13381	14040	1
AK1	-8700	17091	0	5548	H3K9ac	15131	15740	1
AKP2	-65974	66456	0	54584	H3K27me3	1676	2665	1
AKP2	-65974	66456	0	54584	H3K9ac	3076	3785	1
AKP2	-65974	66456	0	54584	H3K9ac	38426	39445	2
AKP2	-65974	66456	0	54584	H3K27me3	39676	40585	2
BGN	-24615	19442	0	12287	H3K9ac	16226	16985	1
BGN	-24615	19442	0	12287	H3K27me3	18126	19235	1
BMP4	-179545	676758	0	7079	H3K27me3	406608	407517	1
BMP4	-179545	676758	0	7079	H3K9ac	409808	410467	1
CCND1	-266463	18788	0	9994	H3K9ac	-243032	-242373	1
CCND1	-266463	18788	0	9994	H3K27me3	-240182	-239233	1
CCND1	-266463	18788	0	9994	H3K27me3	-204582	-203923	2
CCND1	-266463	18788	0	9994	H3K9ac	-202332	-201683	2
CCND1	-266463	18788	0	9994	H3K9ac	-194082	-193073	3
CCND1	-266463	18788	0	9994	H3K27me3	-192082	-191473	3
CCND3	-2764	95029	0	94638	H3K9ac	2874	3513	1
CCND3	-2764	95029	0	94638	H3K27me3	6074	7113	1
CCND3	-2764	95029	0	94638	H3K27me3	90654	91763	2
CCND3	-2764	95029	0	94638	H3K9ac	92754	93463	2
CEBPB	-27371	242134	0	1503	H3K9ac	-2750	-2101	1
CEBPB	-27371	242134	0	1503	H3K27me3	-1200	-251	1
CSPG4	-13197	52040	0	33975	H3K9ac	-4566	-3757	1
CSPG4	-13197	52040	0	33975	H3K27me3	-1066	-357	1
CSPG4	-13197	52040	0	33975	H3K27me3	8804	9643	2
CSPG4	-13197	52040	0	33975	H3K9ac	11634	12543	2
CSPG4	-13197	52040	0	33975	H3K9ac	15734	17193	3
CSPG4	-13197	52040	0	33975	H3K27me3	19674	20393	3
ENG	-11543	36014	0	35523	H3K27me3	7990	8749	1
ENG	-11543	36014	0	35523	H3K9ac	9090	9699	1
FBLN2	-38081	151219	0	59776	H3K9ac	124250	124909	1
FBLN2	-38081	151219	0	59776	H3K27me3	125300	126059	1
FHL1	-69894	66166	0	61559	H3K27me3	-65323	-64454	1
FHL1	-69894	66166	0	61559	H3K9ac	-61623	-60964	1
FOXP3	-1278	27410	0	15541	H3K9ac	15433	17542	1
FOXP3	-1278	27410	0	15541	H3K27me3	18823	20192	1
GATA2	-93364	23600	0	8361	H3K27me3	-86063	-84634	1
GATA2	-93364	23600	0	8361	H3K9ac	-82953	-82344	1
KLF4	-1207539	141254	0	5201	H3K9ac	-1176	13	1
KLF4	-1207539	141254	0	5201	H3K27me3	724	2883	1
MYOD1	-66313	21060	0	2613	H3K27me3	-3992	-3183	1
MYOD1	-66313	21060	0	2613	H3K9ac	-292	567	1
NOTCH1	-77446	58421	0	45613	H3K27me3	39541	40250	1
NOTCH1	-77446	58421	0	45613	H3K9ac	41241	42100	1
PAX7	-77520	162688	0	94887	H3K27me3	64268	65527	1
PAX7	-77520	162688	0	94887	H3K9ac	65968	66777	1
PCOLCE	-1101	10364	0	6297	H3K9ac	-1086	173	1
PCOLCE	-1101	10364	0	6297	H3K27me3	264	1193	1
PROX1	-590340	248392	0	48905	H3K9ac	-520158	-519299	1
PROX1	-590340	248392	0	48905	H3K27me3	-517008	-516049	1
PTCH2	-23952	28266	0	18475	H3K27me3	7269	8358	1
PTCH2	-23952	28266	0	18475	H3K9ac	8749	9458	1
PYCR2	-5206	30730	0	3779	H3K27me3	2965	3724	1
PYCR2	-5206	30730	0	3779	H3K9ac	4615	5274	1
SALL4	-158170	25401	0	18869	H3K27me3	-109	2150	1
SALL4	-158170	25401	0	18869	H3K9ac	4841	5450	1
SELPLG	-12006	30075	0	11881	H3K27me3	-425	384	1
SELPLG	-12006	30075	0	11881	H3K9ac	1975	2584	1
SERTAD1	-9589	12371	0	3361	H3K9ac	172	841	1
SERTAD1	-9589	12371	0	3361	H3K27me3	3482	4191	1
SOCS2	-63985	92724	0	4779	H3K9ac	-806	413	1
SOCS2	-63985	92724	0	4779	H3K27me3	694	1653	1
STXBP1	-29099	62721	0	59164	H3K27me3	-22419	-21060	1
STXBP1	-29099	62721	0	59164	H3K9ac	-20769	-20100	1
TOB1	-55678	26144	0	4041	H3K9ac	-39867	-39158	1
TOB1	-55678	26144	0	4041	H3K27me3	-36417	-35408	1
TPM1	-168923	73729	0	26620	H3K9ac	-104591	-103982	1
TPM1	-168923	73729	0	26620	H3K27me3	-103441	-102782	1
TRIP6	-318	7074	0	4342	H3K27me3	-296	1633	1
TRIP6	-318	7074	0	4342	H3K9ac	3304	3963	1
TSC22D3	-77506	124383	0	60994	H3K27me3	88793	89702	1
TSC22D3	-77506	124383	0	60994	H3K9ac	92243	92902	1
WBP7	-955	20764	0	19871	H3K27me3	-816	-167	1
WBP7	-955	20764	0	19871	H3K9ac	334	2143	1
WDR45	-149	6322	0	5952	H3K27me3	-148	1291	1
WDR45	-149	6322	0	5952	H3K9ac	4132	5141	1
WNT4	-228940	42068	0	19144	H3K27me3	-202479	-201240	1
WNT4	-228940	42068	0	19144	H3K9ac	-200649	-199780	1
WNT4	-228940	42068	0	19144	H3K9ac	-81209	-80540	2
WNT4	-228940	42068	0	19144	H3K27me3	-79849	-78990	2
