Gene	TiledRegionStart	TiledRegionStop	GeneStart	GeneStop	Mark	RegionStart	RegionStop
6720457D02RIK	-140807	91787	0	41802	exon	39869	41803
6720457D02RIK	-140807	91787	0	41802	exon	38367	38428
6720457D02RIK	-140807	91787	0	41802	exon	38055	38182
6720457D02RIK	-140807	91787	0	41802	exon	23785	23989
6720457D02RIK	-140807	91787	0	41802	exon	0	113
8430410A17RIK	-381	66445	0	22638	exon	-1	35
8430410A17RIK	-381	66445	0	22638	exon	514	719
8430410A17RIK	-381	66445	0	22638	exon	3862	4006
8430410A17RIK	-381	66445	0	22638	exon	7549	7675
8430410A17RIK	-381	66445	0	22638	exon	11655	11834
8430410A17RIK	-381	66445	0	22638	exon	19265	19458
8430410A17RIK	-381	66445	0	22638	exon	22113	22637
AATF	-5878	111854	0	90645	exon	90482	90646
AATF	-5878	111854	0	90645	exon	70864	70936
AATF	-5878	111854	0	90645	exon	67794	67875
AATF	-5878	111854	0	90645	exon	64314	64382
AATF	-5878	111854	0	90645	exon	45957	46041
AATF	-5878	111854	0	90645	exon	42773	42938
AATF	-5878	111854	0	90645	exon	42215	42414
AATF	-5878	111854	0	90645	exon	40335	40450
AATF	-5878	111854	0	90645	exon	3705	3843
AATF	-5878	111854	0	90645	exon	3084	3303
AATF	-5878	111854	0	90645	exon	1923	2019
AATF	-5878	111854	0	90645	exon	1172	1361
AATF	-5878	111854	0	90645	exon	0	210
ABCB1B	-49667	95531	0	68122	exon	-40	103
ABCB1B	-49667	95531	0	68122	exon	549	620
ABCB1B	-49667	95531	0	68122	exon	7246	7295
ABCB1B	-49667	95531	0	68122	exon	7821	7984
ABCB1B	-49667	95531	0	68122	exon	12371	12429
ABCB1B	-49667	95531	0	68122	exon	14468	14660
ABCB1B	-49667	95531	0	68122	exon	15387	15559
ABCB1B	-49667	95531	0	68122	exon	16536	16661
ABCB1B	-49667	95531	0	68122	exon	23085	23257
ABCB1B	-49667	95531	0	68122	exon	25745	25859
ABCB1B	-49667	95531	0	68122	exon	26000	26111
ABCB1B	-49667	95531	0	68122	exon	26286	26412
ABCB1B	-49667	95531	0	68122	exon	26502	26706
ABCB1B	-49667	95531	0	68122	exon	26926	27097
ABCB1B	-49667	95531	0	68122	exon	27364	27526
ABCB1B	-49667	95531	0	68122	exon	29139	29313
ABCB1B	-49667	95531	0	68122	exon	29516	29663
ABCB1B	-49667	95531	0	68122	exon	30636	30744
ABCB1B	-49667	95531	0	68122	exon	34007	34085
ABCB1B	-49667	95531	0	68122	exon	36841	36925
ABCB1B	-49667	95531	0	68122	exon	39404	39608
ABCB1B	-49667	95531	0	68122	exon	47561	47662
ABCB1B	-49667	95531	0	68122	exon	51325	51466
ABCB1B	-49667	95531	0	68122	exon	53270	53427
ABCB1B	-49667	95531	0	68122	exon	55242	55440
ABCB1B	-49667	95531	0	68122	exon	63237	63444
ABCB1B	-49667	95531	0	68122	exon	65928	66075
ABCB1B	-49667	95531	0	68122	exon	67563	68128
ABCG2	-123794	237017	0	95779	exon	-1	436
ABCG2	-123794	237017	0	95779	exon	58965	59184
ABCG2	-123794	237017	0	95779	exon	66941	67001
ABCG2	-123794	237017	0	95779	exon	67771	67886
ABCG2	-123794	237017	0	95779	exon	68431	68584
ABCG2	-123794	237017	0	95779	exon	70209	70367
ABCG2	-123794	237017	0	95779	exon	72514	72666
ABCG2	-123794	237017	0	95779	exon	75337	75442
ABCG2	-123794	237017	0	95779	exon	77895	78146
ABCG2	-123794	237017	0	95779	exon	81603	81686
ABCG2	-123794	237017	0	95779	exon	86557	86647
ABCG2	-123794	237017	0	95779	exon	87660	87785
ABCG2	-123794	237017	0	95779	exon	88994	89149
ABCG2	-123794	237017	0	95779	exon	92882	92972
ABCG2	-123794	237017	0	95779	exon	93858	93947
ABCG2	-123794	237017	0	95779	exon	95570	95779
ACE	-23815	26769	0	21298	exon	-16	283
ACE	-23815	26769	0	21298	exon	944	1112
ACE	-23815	26769	0	21298	exon	1738	1832
ACE	-23815	26769	0	21298	exon	2590	2734
ACE	-23815	26769	0	21298	exon	3329	3521
ACE	-23815	26769	0	21298	exon	4054	4152
ACE	-23815	26769	0	21298	exon	4398	4571
ACE	-23815	26769	0	21298	exon	4898	5122
ACE	-23815	26769	0	21298	exon	5429	5574
ACE	-23815	26769	0	21298	exon	5816	5915
ACE	-23815	26769	0	21298	exon	6141	6264
