Gene	TiledRegionStart	TiledRegionStop	GeneStart	GeneStop	Mark	RegionStart	RegionStop
6720457D02RIK	-140807	91787	0	41802	-	-	-
8430410A17RIK	-381	66445	0	22638	H3K27me3	52640	53349
8430410A17RIK	-381	66445	0	22638	H3K4me3	49710	50389
AATF	-5878	111854	0	90645	-	-	-
ABCB1B	-49667	95531	0	68122	-	-	-
ABCG2	-123794	237017	0	95779	H3K9ac	234587	235296
ACE	-23815	26769	0	21298	H3K27me3	12376	13285
ACE	-23815	26769	0	21298	H3K9ac	-15524	-14715
ACE	-23815	26769	0	21298	H3K9ac	6926	7585
ACE	-23815	26769	0	21298	H3K9ac	12526	13235
ACE	-23815	26769	0	21298	H3K9me2	12526	13185
ACO1	-691485	62525	0	55744	-	-	-
ACTB	-53631	8806	0	3608	H3K27me3	-14814	-14035
ACTB	-53631	8806	0	3608	H3K27me3	-19964	-19195
ACTB	-53631	8806	0	3608	H3K4me3	-14814	-14035
ACTB	-53631	8806	0	3608	H3K9ac	-14814	-14035
ACTB	-53631	8806	0	3608	H3K9ac	-19964	-19195
ACTB	-53631	8806	0	3608	H3K9ac	-53364	-52455
ACTB	-53631	8806	0	3608	H3K9me2	-14814	-14035
ACTC1	-48361	20519	0	5522	H3K27me3	-921	38
ACTC1	-48361	20519	0	5522	H3K27me3	-1921	-1252
ACTC1	-48361	20519	0	5522	H3K4me3	-821	38
ACTC1	-48361	20519	0	5522	H3K9ac	-921	38
ACTC1	-48361	20519	0	5522	H3K9ac	-1921	-1252
ADAM19	-3638	92168	0	91356	H3K27me3	-227	872
ADAM19	-3638	92168	0	91356	H3K27me3	66463	67222
ADAM19	-3638	92168	0	91356	H3K27me3	79853	80472
ADAM19	-3638	92168	0	91356	H3K4me3	-227	872
ADAM19	-3638	92168	0	91356	H3K4me3	79853	80472
ADAM19	-3638	92168	0	91356	H3K9ac	-227	872
ADAM19	-3638	92168	0	91356	H3K9ac	66463	67222
ADAM19	-3638	92168	0	91356	H3K9ac	79853	80522
ADAM23	-131332	176947	0	150611	H3K27me3	-26151	-24462
ADAM23	-131332	176947	0	150611	H3K27me3	79	688
ADAM23	-131332	176947	0	150611	H3K27me3	7429	8088
ADAM23	-131332	176947	0	150611	H3K27me3	129729	130338
ADAM23	-131332	176947	0	150611	H3K4me3	-25621	-24462
ADAM23	-131332	176947	0	150611	H3K4me3	7429	8088
ADAM23	-131332	176947	0	150611	H3K4me3	129729	130338
ADAM23	-131332	176947	0	150611	H3K9ac	-25621	-24462
ADAM23	-131332	176947	0	150611	H3K9ac	7429	8088
ADAM23	-131332	176947	0	150611	H3K9ac	129729	130338
ADAM23	-131332	176947	0	150611	H3K9me2	-25671	-24462
ADAM23	-131332	176947	0	150611	H3K9me2	7429	8088
ADAM9	-486	68007	0	67169	H3K27me3	4097	4706
ADAM9	-486	68007	0	67169	H3K4me3	4097	4706
ADAM9	-486	68007	0	67169	H3K9ac	4097	4706
AIM1	-263512	56984	0	54539	H3K27me3	5384	7143
AIM1	-263512	56984	0	54539	H3K4me3	5434	6843
AIM1	-263512	56984	0	54539	H3K9ac	5384	6843
AIM1	-263512	56984	0	54539	H3K9me2	5384	7143
AK1	-8700	17091	0	5548	H3K27me3	-1469	4140
AK1	-8700	17091	0	5548	H3K27me3	15131	15880
AK1	-8700	17091	0	5548	H3K4me3	-1469	3840
AK1	-8700	17091	0	5548	H3K9ac	-1469	4140
AK1	-8700	17091	0	5548	H3K9me2	-4019	-3250
AK1	-8700	17091	0	5548	H3K9me2	-1469	1440
AK1	-8700	17091	0	5548	H3K9me2	15131	15880
AK3L1	-63511	123539	0	47236	H3K9me2	230	859
AKP2	-65974	66456	0	54584	H3K27me3	65086	66455
AKP2	-65974	66456	0	54584	H3K27me3	63176	63885
AKP2	-65974	66456	0	54584	H3K27me3	62276	62895
AKP2	-65974	66456	0	54584	H3K27me3	59326	60305
AKP2	-65974	66456	0	54584	H3K27me3	44476	45735
AKP2	-65974	66456	0	54584	H3K27me3	38276	39445
AKP2	-65974	66456	0	54584	H3K27me3	33176	34095
AKP2	-65974	66456	0	54584	H3K27me3	25776	26985
