Gene	TiledRegionStart	TiledRegionStop	GeneStart	GeneStop	Mark	RegionStart	RegionStop	PairID
ACE	-23815	26769	0	21298	H3K27me3	11576	13035	1
ACE	-23815	26769	0	21298	H3K9me2	12376	13285	1
ACO1	-691485	62525	0	55744	H3K27me3	-244	515	1
ACO1	-691485	62525	0	55744	H3K9me2	-244	765	1
ACTB	-53631	8806	0	3608	H3K9me2	-53614	-52605	1
ACTB	-53631	8806	0	3608	H3K27me3	-53604	-52655	1
ACTB	-53631	8806	0	3608	H3K27me3	-14814	-14035	2
ACTB	-53631	8806	0	3608	H3K9me2	-14814	-14035	2
ADAM19	-3638	92168	0	91356	H3K27me3	66463	67222	1
ADAM19	-3638	92168	0	91356	H3K9me2	66463	67222	1
ADAM23	-131332	176947	0	150611	H3K27me3	7229	8088	1
ADAM23	-131332	176947	0	150611	H3K9me2	7279	8088	1
AK1	-8700	17091	0	5548	H3K27me3	-1469	1590	1
AK1	-8700	17091	0	5548	H3K9me2	-1469	840	1
AK1	-8700	17091	0	5548	H3K27me3	13381	14040	2
AK1	-8700	17091	0	5548	H3K9me2	13381	14040	2
AKP2	-65974	66456	0	54584	H3K27me3	-58324	-57385	1
AKP2	-65974	66456	0	54584	H3K9me2	-58074	-57385	1
AKP2	-65974	66456	0	54584	H3K9me2	-56674	-55965	2
AKP2	-65974	66456	0	54584	H3K27me3	-56604	-55885	2
AKP2	-65974	66456	0	54584	H3K27me3	1676	2665	3
AKP2	-65974	66456	0	54584	H3K9me2	1776	2665	3
AKP2	-65974	66456	0	54584	H3K27me3	12026	12905	4
AKP2	-65974	66456	0	54584	H3K9me2	12026	12905	4
AKP2	-65974	66456	0	54584	H3K27me3	25776	27635	5
AKP2	-65974	66456	0	54584	H3K9me2	25776	26735	5
AKP2	-65974	66456	0	54584	H3K27me3	33176	34095	6
AKP2	-65974	66456	0	54584	H3K9me2	33176	34095	6
AKP2	-65974	66456	0	54584	H3K9me2	38476	39445	7
AKP2	-65974	66456	0	54584	H3K27me3	39676	40585	7
AKP2	-65974	66456	0	54584	H3K27me3	44476	45535	8
AKP2	-65974	66456	0	54584	H3K9me2	44476	45535	8
AKP2	-65974	66456	0	54584	H3K9me2	59326	60305	9
AKP2	-65974	66456	0	54584	H3K27me3	60726	61355	9
AKP2	-65974	66456	0	54584	H3K27me3	62276	62895	10
